AS,STEP,TIMESTEP
5,STARTUP_START,1693772016294148894
5,STARTUP_END,1693783561194517460
5,STARTUP_TIME,11544900368566
5,CONFIG_START,1693783561195591481
5,CONFIG_END,1693783838666589051
5,CONFIG_TIME,277470997570
5,GEN_START,1693783838667697285
5,GEN_END,1693787651434922590
5,GEN_TIME,3812767225305
10,STARTUP_START,1693816431116911190
10,STARTUP_END,1693831451764117605
10,STARTUP_TIME,15020647206415
10,CONFIG_START,1693831451765671885
10,CONFIG_END,1693832188220685193
10,CONFIG_TIME,736455013308
10,GEN_START,1693832188222310116
10,GEN_END,1693835938773281696
10,GEN_TIME,3750550971580
30,STARTUP_START,1693835942085353448
30,STARTUP_END,1693860913470791424
30,STARTUP_TIME,24971385437976
30,CONFIG_START,1693860913475544571
30,CONFIG_END,1693865567802842875
30,CONFIG_TIME,4654327298304
30,GEN_START,1693865567804776531
30,GEN_END,1693869423367412806
30,GEN_TIME,3855562636275
